=> using ddp: False
=> device: mps
=> ddp_world_size: 1
=> compile: False, amp(bf16): False
found 995 shards for split train, using 15 (index 22..36)
data_loader: 150000000 tokens in the working set
data_loader: 1 epoch = 73242 micro batches
found 1 shards for split val, using 1 (index 0..0)
data_loader: 10000000 tokens in the working set
data_loader: 1 epoch = 4882 micro batches
data_loader: checkpoint shard edufineweb_train_000022 is outside this window (edufineweb_train_000023..edufineweb_train_000037) -- starting at edufineweb_train_000023
=> resumed from runs_small/model_013147.pt at step 13148
=> total desired batch size: 16384
=> calculated gradient accumulated steps: 8
=> training steps: 9155 (step 13148 -> 22303), lr schedule spans 22303
=> lr at start: 2.57e-04  -> end: 6.00e-05
step 13200, loss: 4.3915, norm: 1.2482, lr: 0.000255, dt: 2588.35ms, token/sec: 6329.90
step 13201, loss: 4.5983, norm: 1.9201, lr: 0.000255, dt: 2619.27ms, token/sec: 6255.19
step 13202, loss: 4.7286, norm: 1.7047, lr: 0.000255, dt: 2598.68ms, token/sec: 6304.75
step 13203, loss: 5.0412, norm: 2.2719, lr: 0.000255, dt: 2597.17ms, token/sec: 6308.40
step 13204, loss: 4.0574, norm: 1.4794, lr: 0.000255, dt: 2576.79ms, token/sec: 6358.31
step 13205, loss: 4.3036, norm: 1.3250, lr: 0.000254, dt: 2590.01ms, token/sec: 6325.84
step 13206, loss: 4.4661, norm: 1.7014, lr: 0.000254, dt: 2586.28ms, token/sec: 6334.96
step 13207, loss: 4.4782, norm: 1.6024, lr: 0.000254, dt: 2635.99ms, token/sec: 6215.50
step 13208, loss: 4.4438, norm: 1.4279, lr: 0.000254, dt: 2566.40ms, token/sec: 6384.05
step 13209, loss: 4.1287, norm: 1.3753, lr: 0.000254, dt: 2595.70ms, token/sec: 6311.98
step 13210, loss: 4.2264, norm: 1.4055, lr: 0.000254, dt: 2581.36ms, token/sec: 6347.05
step 13211, loss: 4.2318, norm: 1.3734, lr: 0.000254, dt: 2583.48ms, token/sec: 6341.83
step 13212, loss: 4.3865, norm: 1.5575, lr: 0.000254, dt: 2565.85ms, token/sec: 6385.41
step 13213, loss: 4.1300, norm: 1.6317, lr: 0.000254, dt: 2589.28ms, token/sec: 6327.64
step 13214, loss: 4.2056, norm: 1.2452, lr: 0.000254, dt: 2590.92ms, token/sec: 6323.61
step 13215, loss: 4.2844, norm: 1.4452, lr: 0.000254, dt: 2571.81ms, token/sec: 6370.62
step 13216, loss: 4.2988, norm: 1.4318, lr: 0.000254, dt: 2597.14ms, token/sec: 6308.48
step 13217, loss: 4.2727, norm: 2.0281, lr: 0.000254, dt: 2628.43ms, token/sec: 6233.38
step 13218, loss: 4.2338, norm: 1.5599, lr: 0.000254, dt: 2582.18ms, token/sec: 6345.03
step 13219, loss: 4.2207, norm: 1.5293, lr: 0.000254, dt: 2599.18ms, token/sec: 6303.53
step 13220, loss: 4.3295, norm: 1.4714, lr: 0.000254, dt: 2582.72ms, token/sec: 6343.69
step 13221, loss: 4.2578, norm: 1.3159, lr: 0.000254, dt: 2590.56ms, token/sec: 6324.51
step 13222, loss: 4.7025, norm: 1.8956, lr: 0.000254, dt: 2614.46ms, token/sec: 6266.68
step 13223, loss: 4.7167, norm: 1.8082, lr: 0.000254, dt: 2586.21ms, token/sec: 6335.14
step 13224, loss: 4.3317, norm: 1.9483, lr: 0.000254, dt: 2566.28ms, token/sec: 6384.35
step 13225, loss: 4.6472, norm: 1.4932, lr: 0.000254, dt: 2585.72ms, token/sec: 6336.33
step 13226, loss: 4.4571, norm: 1.4676, lr: 0.000254, dt: 2616.63ms, token/sec: 6261.50
step 13227, loss: 4.1690, norm: 1.5079, lr: 0.000254, dt: 2599.29ms, token/sec: 6303.25
step 13228, loss: 4.2212, norm: 1.7451, lr: 0.000254, dt: 2591.20ms, token/sec: 6322.94
step 13229, loss: 4.3357, norm: 1.3187, lr: 0.000254, dt: 2574.41ms, token/sec: 6364.19
step 13230, loss: 4.3950, norm: 1.3962, lr: 0.000254, dt: 2598.07ms, token/sec: 6306.23
step 13231, loss: 4.4761, norm: 1.5525, lr: 0.000254, dt: 2601.15ms, token/sec: 6298.74
step 13232, loss: 4.3846, norm: 1.5524, lr: 0.000253, dt: 2591.86ms, token/sec: 6321.34
step 13233, loss: 4.2050, norm: 1.2329, lr: 0.000253, dt: 2590.48ms, token/sec: 6324.71
step 13234, loss: 4.6595, norm: 1.6183, lr: 0.000253, dt: 2622.88ms, token/sec: 6246.56
step 13235, loss: 4.5334, norm: 1.9025, lr: 0.000253, dt: 2600.39ms, token/sec: 6300.59
step 13236, loss: 4.4468, norm: 1.4605, lr: 0.000253, dt: 2595.45ms, token/sec: 6312.60
step 13237, loss: 4.3843, norm: 1.8071, lr: 0.000253, dt: 2590.33ms, token/sec: 6325.05
step 13238, loss: 4.3177, norm: 1.7401, lr: 0.000253, dt: 2587.13ms, token/sec: 6332.89
step 13239, loss: 4.2903, norm: 1.4121, lr: 0.000253, dt: 2596.41ms, token/sec: 6310.26
step 13240, loss: 4.5839, norm: 1.5047, lr: 0.000253, dt: 2599.28ms, token/sec: 6303.27
step 13241, loss: 4.4306, norm: 1.4397, lr: 0.000253, dt: 2609.49ms, token/sec: 6278.62
step 13242, loss: 4.2742, norm: 1.5182, lr: 0.000253, dt: 2599.82ms, token/sec: 6301.98
step 13243, loss: 4.2307, norm: 1.3388, lr: 0.000253, dt: 2586.65ms, token/sec: 6334.06
step 13244, loss: 4.4545, norm: 1.6413, lr: 0.000253, dt: 2600.93ms, token/sec: 6299.29
step 13245, loss: 4.5481, norm: 1.6903, lr: 0.000253, dt: 2592.04ms, token/sec: 6320.90
step 13246, loss: 4.3728, norm: 1.3128, lr: 0.000253, dt: 2607.24ms, token/sec: 6284.05
step 13247, loss: 4.2604, norm: 1.4278, lr: 0.000253, dt: 2601.28ms, token/sec: 6298.44
step 13248, loss: 4.3127, norm: 1.4083, lr: 0.000253, dt: 2595.66ms, token/sec: 6312.08
step 13249, loss: 4.3907, norm: 1.5938, lr: 0.000253, dt: 2599.05ms, token/sec: 6303.83
step 13250, loss: 4.3634, norm: 1.4467, lr: 0.000253, dt: 2591.37ms, token/sec: 6322.52
step 13251, loss: 4.2459, norm: 1.3864, lr: 0.000253, dt: 2597.86ms, token/sec: 6306.74
step 13252, loss: 4.3269, norm: 1.4222, lr: 0.000253, dt: 2607.59ms, token/sec: 6283.19
step 13253, loss: 4.4670, norm: 1.3851, lr: 0.000253, dt: 2618.84ms, token/sec: 6256.20
step 13254, loss: 4.8389, norm: 1.9273, lr: 0.000253, dt: 2596.82ms, token/sec: 6309.26
